"Boyut,Ag?rl?k,Tatl?l?k,Yumu?akl?k,Hasatzaman?,Olgunluk,Asitlik,Quality"
"-1.209.003,5.872.918,16.895.368,-11.453.153,-16.009.734,56.692.485,458.452,Good"
"-15.354.371,16.475.633,21.196.895,-8.142.036,-21.204.057,1.047.453,2.279.427,Good"
"-21.406.147,-3.836.022,4.967.693,-29.921.575,-27.909.646,26.281.013,20.846.417,Good"
"14.726.099,6.166.565,28.031.378,-19.206.148,-23.742.943,22.505.429,29.484.408,Good"
"-21.559.153,15.101.514,26.644.897,-82.679.003,-10.704.387,17.154.005,16.281.819,Good"
"-2.200.867,24.252.944,36.407.993,16.726.213,-14.334.321,-11.630.033,20.894.525,Good"
"-11.103.951,21.090.655,22.491.398,-11.821.747,-10.979.518,-136.717,-13.834.447,Good"
"-90.840.834,15.476.106,12.718.428,-41.198.225,-21.304.307,39.560.068,2.163.232,Good"
"-94.681.686,3.268.493,11.266.011,-28.878.698,20.108.773,2.608.574,-17.600.517,Good"
"-34.969.625,3.079.848,63.767.517,-11.550.055,-33.589.697,32.319.036,17.146.739,Good"
"-49.763.784,18.657.301,8.996.792,-4.110.629,-11.905.433,38.470.652,11.588.105,Good"
"-21.474.555,74.446.315,-8.160.196,-30.099.254,-2.557.891,62.917.244,-17.961.051,Good"
"-8.811.638,10.883.721,4.289.701,-20.509.384,-17.906.356,21.039.357,-7.941.811,Good"
"-13.725.421,1.638.202,34.246.957,-61.439.484,-22.516.894,-5.701.347,-78.884.846,Good"
"-3.380.977,87.808.335,3.105.832,-21.223.042,-32.711.797,9.387.345,14.117.986,Good"
"20.432.454,2.518.991,14.666.715,-5.411.803,-44.543.552,49.273.625,3.205.806,Good"
"-22.955.866,63.695.323,-21.003.594,-30.938.964,-14.897.352,2.515.856,16.655.138,Good"
"-19.347.188,17.457.511,96.072.036,-18.190.659,-16.856.673,67.002.505,15.611.273,Good"
"26.609.913,1.438.607,8.569.186,-17.040.806,-12.586.105,11.772.699,13.262.955,Good"
"-16.260.979,22.294.981,38.565.006,6.527.451,-1.943.957,-638.567,2.567.122,Good"
"-66.571.075,33.018.363,23.014.832,-1.975.082,6.553.061,436.312,28.521.917,Good"
"-7.669.875,18.961.201,38.179.626,-30.574.086,-7.720.585,-13.166.937,31.373.022,Good"
"-10.184.547,2.671.345,92.304.945,-1.461.471,-8.205.676,20.059.307,24.110.136,Good"
"68.349.105,-54.199.547,16.959.028,-25.696.921,-15.717.257,19.097.008,1.575.249,Good"
"-15.618.832,-38.204.145,19.688.824,-27.940.028,-6.568.102,21.850.479,39.561.668,Good"
"-14.863.106,37.006.385,-14.179.648,-13.413.905,-98.336.583,14.575.948,6.938.195,Good"
"-14.109.363,33.912.613,3.127.587,11.965.835,-23.266.973,-8.821.467,1.987.488,Good"
"-31.939.576,18.730.172,-21.843.982,-115.867,-29.135.914,22.371.037,37.461.385,Good"
"33.727.044,22.244.432,32.573.576,-22.308.512,-16.200.933,-12.792.771,1.849.879,Good"
"-10.780.525,910.762,11.277.452,-7.406.771,-31.993.828,8.279.137,34.040.192,Good"
"73.674.625,-3.761.352,26.646.292,-19.770.099,-9.834.506,29.315.963,30.796.804,Good"
"-10.882.905,21.978.161,4.599.306,11.894.305,-1.964.402,-18.531.815,22.170.224,Good"
"-30.166.202,12.120.785,48.476.458,-24.817.405,-11.921.098,4.026.013,24.941.854,Good"
"-33.357.055,17.843.759,14.533.069,-3.004.194,-100.819,11.728.576,1.982.555,Good"
"-19.283.744,9.519.958,13.299.526,-26.452.518,-10.672.356,29.584.136,14.299.158,Good"
"-793.789,14.783.915,-29.026.253,-21.965.804,-22.780.151,2.540.952,-19.130.455,Good"
"-19.724.117,6.701.601,33.102.787,12.275.104,-29.752.495,-93.561.083,36.495.835,Good"
"18.970.554,15.292.221,5.904.323,1.2269,-12.897.246,11.485.572,4.966.576,Good"
"-95.326.644,13.128.886,42.601.943,-3.564.475,-1.070.556,14.638.922,10.161.204,Good"
"-29.119.968,27.043.934,24.289.727,40.510.818,-10.680.723,15.638.851,27.642.992,Good"
"-14.280.835,19.350.069,19.631.983,-1.489.131,-21.220.205,13.870.637,19.777.112,Good"
"42.718.053,3.908.386,16.977.988,-46.358.237,1.054.177,2.530.266,40.449.185,Good"
"-5.427.511,12.810.831,-13.882.654,-38.481.002,-52.452.713,41.833.224,24.932.268,Good"
"-11.329.908,20.127.015,9.831.402,-1.804.732,-6.024.413,21.830.156,16.626.799,Good"
"-26.466.448,3.225.499,11.758.808,-24.783.509,-14.661.101,3.159.522,17.451.617,Good"
"-22.452.989,88.963.675,12.542.323,-24.319.541,-3.407.753,23.114.169,17.577.418,Good"
"14.988.151,2.417.231,-16.974.655,-26.614.525,-14.286.149,26.043.131,-2.202.398,Good"
"-18.039.882,-35.884.306,34.605.205,-5.777.492,-34.974.074,-78.210.557,23.118.515,Good"
"-26.352.468,31.798.215,53.101.283,71.470.964,-15.298.655,9.424.457,21.020.792,Good"
"20.087.737,17.328.447,4.356.116,-6.317.583,5.724.261,1.267.787,26.074.102,Good"
"-34.775.324,26.045.787,77.845.174,-6.509.518,-27.348.258,23.361.057,10.608.063,Good"
"-38.704.607,23.946.948,71.197.623,-18.782.754,-2.447.325,13.158.818,-2.846.162,Good"
"-12.140.914,4.615.363,27.660.604,23.032.544,-9.274.766,-13.214.458,15.335.971,Good"
"-15.997.156,7.911.898,22.488.916,-10.262.281,-11.421.025,6.748.828,46.515.827,Good"
"-44.368.634,26.443.553,33.367.994,-65.923.697,-7.347.367,18.620.952,31.539.018,Good"
"-42.615.924,-36.510.717,12.374.406,-3.003.397,-3.085.685,22.811.315,13.178.458,Good"
"-20.499.876,64.103.293,15.491.631,-6.680.992,-9.943.361,-57.300.824,21.481.144,Good"
"-28.773.859,4.304.594,-31.109.781,-23.885.837,-25.224.195,14.401.178,48.411.825,Good"
"-10.101.472,14.877.523,38.485.146,-4.138.833,-20.330.548,4.607.569,6.071.244,Good"
"17.951.322,16.840.107,12.743.895,-10.276.517,45.567.837,17.895.958,4.252.158,Good"
"-22.629.418,2.600.959,12.487.838,-63.079.375,-8.699.566,22.290.335,9.725.153,Good"
"-28.677.103,290.137,21.985.462,45.127.094,-10.990.394,-44.288.722,10.282.161,Good"
"-26.662.166,13.628.432,-23.180.023,-32.822.893,-87.466.836,3.510.728,-2.549.349,Good"
"-14.735.998,19.593.885,-4.068.864,-26.239.054,-6.305.173,58.444.295,2.889.394,Good"
"-17.268.124,-13.624.199,3.282.574,-41.421.685,-13.310.819,424.142,13.069.389,Good"
"1.279.499,14.537.334,-14.324.708,-32.797.189,4.181.991,2.335.183,34.634.743,Good"
"-9.781.203,17.788.073,16.681.484,-11.350.375,-1.617.357,89.989.406,22.988.765,Good"
"-35.086.968,2.423.026,25.047.874,-36.632.207,-7.279.045,-45.022.106,10.369.713,Good"
"-18.044.859,2.134.643,3.698.281,13.704.062,-24.608.433,-1.248.709,1.961.614,Good"
"-12.464.763,-552.323,6.696.401,-42.822.633,20.947.367,3.931.175,1.280.973,Good"
"-14.568.093,32.581.851,22.401.364,-13.650.305,-15.443.884,21.668.718,-41.560.012,Good"
"-32.389.674,2.590.632,2.730.701,-24.103.928,-28.670.142,13.377.973,3.841.865,Good"
"-25.820.541,23.925.922,28.987.784,-6.472.139,-7.393.595,7.017.264,55.093.145,Good"
"-1.417.781,-11.865.485,38.288.655,-38.386.264,-20.309.162,3.766.964,29.764.392,Good"
"-11.259.096,8.935.483,11.012.583,-19.804.472,-15.761.524,21.995.323,25.935.922,Good"
"-14.267.913,17.404.146,23.660.483,-22.219.758,-6.502.872,11.840.646,74.896.353,Good"
"-39.180.236,-23.918.805,23.353.496,-24.167.845,-25.739.772,9.744.398,-12.449.728,Good"
"-78.986.555,32.806.795,19.033.312,-44.892.758,-1.723.828,44.527.334,3.489.257,Good"
"-2.124.136,18.529.575,-71.977.836,-2.085.291,-9.249.443,32.787.683,4.894.016,Good"
"4.087.708,18.896.599,26.698.523,-15.690.961,-83.986.336,2.789.991,32.386.355,Good"
"-3.921.062,17.257.655,19.173.007,-4.213.242,-14.270.843,2.819.736,38.345.299,Good"
"-6.268.382,26.257.012,35.630.488,-8.530.198,-3.119.796,-10.512.652,-4.317.951,Good"
"-75.878.114,19.373.293,-10.073.903,-6.373.183,-10.157.633,11.589.617,7.699.405,Good"
"-11.401.057,3.881.905,22.082.117,-5.373.332,-19.441.121,36.145.903,22.517.319,Good"
"-12.477.785,2.591.378,21.800.845,23.466.088,-32.652.729,-12.888.677,-12.321.974,Good"
"12.875.452,3.095.668,5.288.807,16.295.183,-14.315.897,-13.600.188,27.556.665,Good"
"26.086.593,6.792.323,16.662.093,-16.190.099,24.304.482,24.457.288,4.755.036,Good"
"19.153.959,26.103.263,24.848.013,-9.575.871,4.198.756,31.568.868,39.318.223,Good"
"-45.346.227,70.691.985,29.106.798,-12.311.769,-19.214.705,11.064.591,21.617.856,Good"
"-27.288.315,13.725.196,1.920.649,-1.779.471,-18.258.984,13.736.963,-30.658.007,Good"
"-23.672.802,20.497.096,-54.637.885,-35.085.096,-34.294.164,36.410.944,1.708.345,Good"
"10.401.161,21.351.123,3.783.262,-33.591.285,-1.015.316,-21.198.562,25.020.905,Good"
"-86.926.967,17.274.971,48.955.617,-11.403.142,-2.131.811,22.986.247,3.431.202,Good"
"-4.456.546,24.416.864,20.953.135,-23.945.644,-14.931.667,-15.019.491,19.068.643,Good"
"-17.814.139,39.066.703,25.540.204,-13.391.374,-44.626.656,24.562.745,507.376,Good"
"-29.447.877,28.851.728,82.896.346,-10.820.525,-13.557.098,7.114.393,-15.367.963,Good"
"-19.571.248,10.429.461,-11.819.394,-36.613.069,-53.995.943,38.837.733,3.556.971,Good"
"-63.996.464,23.547.423,37.293.294,-38.815.357,16.614.814,43.318.582,21.684.303,Good"
"31.720.224,7.971.001,4.712.145,-31.375.742,58.823.764,25.501.244,35.384.276,Good"
"1.627.288,2.062.764,2.166.993,-2.080.519,-21.481.533,31.577.592,10.280.957,Good"
"-12.298.454,25.021.503,-36.338.413,-15.744.987,-18.988.863,22.802.317,30.924.513,Good"
"-1.323.465,22.877.438,-6.221.283,-17.930.319,-11.909.642,18.803.532,-1.577.174,Good"
"-21.988.025,31.110.404,2.860.352,14.681.631,-11.885.365,296.762,21.043.239,Good"
"-32.326.481,12.532.899,33.023.527,-17.541.212,-18.981.192,4.297.649,25.300.643,Good"
"-28.371.468,18.743.525,-26.442.037,-20.895.824,-26.772.282,25.976.784,-16.296.394,Good"
"32.878.226,28.583.279,24.991.493,-1.509.948,-10.593.274,20.156.302,3.670.054,Good"
"-15.419.217,30.178.099,47.057.882,-6.719.287,-124.047,21.267.574,10.868.801,Good"
"-3.044.721,92.725.694,65.881.276,-66.849.416,-20.198.069,-77.281.266,2.116.943,Good"
"5.572.587,21.725.903,12.890.577,-12.391.255,-13.807.032,25.791.733,20.829.659,Good"
"-10.239.484,18.288.115,24.642.234,-20.550.783,-11.496.507,14.684.377,12.478.882,Good"
"-29.276.273,9.241.852,1.264.793,-14.126.623,-13.675.705,692.229,-11.768.302,Good"
"2.843.053,2.010.439,22.063.406,-19.627.813,11.936.209,32.708.652,26.501.775,Good"
"-24.780.795,10.269.822,2.134.417,-12.799.677,-13.804.598,29.377.153,46.053.667,Good"
"-26.195.202,26.396.627,99.441,-69.435.596,-2.529.583,16.294.954,5.262.781,Good"
"-3.458.481,19.153.986,18.970.009,-10.427.154,-12.074.689,77.954.954,17.986.449,Good"
"-5.941.616,2.226.831,-35.108.003,-15.479.891,-5.820.178,19.191.256,18.840.989,Good"
"-358.339,25.600.655,16.966.783,-13.610.396,-12.371.753,13.167.822,122.545,Good"
"-9.235.619,2.730.912,-17.818.247,-35.910.416,23.920.228,38.288.677,-1.471.685,Bad"
"-36.089.194,8.997.276,43.562.465,-9.277.344,-29.956.112,-12.674.896,-24.997.072,Good"
"-5.155.087,11.213.454,12.812.172,-81.933.326,-51.129.025,34.387.267,25.246.046,Good"
"-12.859.292,1.275.503,12.713.503,-21.349.995,-23.559.268,14.354.429,29.786.506,Good"
"-1.530.686,7.005.448,24.082.541,-11.576.905,-15.483.084,3.516.215,10.721.321,Good"
"-27.652.977,27.034.996,-10.837.812,-21.470.444,-44.925,26.295.543,2.020.021,Good"
"-14.707.151,25.758.872,-16.414.195,-31.254.082,11.199.253,4.999.256,19.978.791,Good"
"-20.764.456,1.652.435,48.476.624,635.644,-84.737.617,-28.709.435,-38.633.168,Good"
"-43.209.105,37.694.165,10.286.076,-36.917.453,-19.721.998,2.811.223,-20.584.464,Good"
"-13.758.632,28.029.273,10.822.855,76.034.874,-96.606.207,-39.579.076,1.971.465,Good"
"-38.657.165,59.801.966,12.153.622,-2.493.452,-25.675.023,18.167.384,-8.380.958,Good"
"-26.766.438,10.080.837,21.096.494,-23.793.073,-3.376.645,7.339.788,2.062.287,Good"
"-38.047.454,-17.256.996,5.592.873,-36.586.795,-1.025.719,45.885.563,14.625.717,Good"
"6.974.768,24.456.012,3.707.681,-1.334.902,24.070.118,31.534.653,49.934.115,Good"
"-53.156.626,13.914.021,23.909.762,-5.889.632,-11.534.376,-15.428.188,-855.838,Good"
"-21.218.793,18.529.953,12.108.272,-20.772.595,-17.203.531,15.968.934,3.237.229,Good"
"-27.527.032,3.509.956,50.638.237,10.198.277,-1.266.151,-10.254.252,13.227.563,Good"
"-67.161.266,29.362.338,29.964.774,7.266.187,-60.754.263,-64.825.624,4.314.676,Good"
"-14.835.513,2.974.788,13.617.514,-43.222.763,-18.698.392,16.262.286,7.684.952,Good"
"-40.653.973,10.691.936,-6.018.938,-19.574.462,-30.923.465,2.381.937,-30.283.535,Good"
"-11.410.544,20.199.943,6.915.231,-27.533.097,6.696.238,4.827.208,632.535,Good"
"-22.768.946,23.709.795,1.699.492,-422.357,-13.238.614,12.826.867,18.230.565,Good"
"-7.257.025,21.990.147,-58.050.233,-25.908.666,-1.521.068,37.421.122,336.147,Good"
"-15.017.493,2.366.004,-22.222.213,-24.870.806,-46.971.774,38.417.852,2.075.024,Good"
"213.376,16.350.458,18.197.863,51.152.702,-5.237.562,-9.431.586,15.894.655,Good"
"45.781.698,23.984.585,15.249.654,-6.383.511,-128.002,13.679.616,18.533.792,Good"
"-93.065.864,14.021.732,-45.166.066,-20.548.272,-16.447.006,9.513.679,10.382.667,Good"
"-13.264.972,22.333.891,19.425.741,15.194.069,-21.983.154,-18.109.262,23.493.629,Good"
"18.171.223,18.196.723,26.676.142,24.836.469,-25.033.739,-58.304.304,30.930.657,Good"
"1.245.172,2.308.125,15.627.594,-545.193,-12.783.709,15.621.531,9.254.185,Good"
"-33.016.176,15.391.964,44.793.572,-63.692.176,-32.781.558,-6.509.438,12.498.474,Good"
"-31.280.758,24.150.956,-582.927,-8.141.169,-94.148.684,12.688.186,1.767.044,Good"
"9.763.464,9.283.209,32.309.346,-17.625.444,-48.666.927,10.845.717,30.463.006,Good"
"-24.163.964,10.752.703,592.726,-34.776.268,89.939.974,28.998.675,21.247.888,Good"
"-28.064.752,20.892.656,46.803.026,-5.814.406,-25.551.507,5.652.945,25.585.857,Good"
"-42.487.073,21.207.619,7.360.997,-14.693.974,-14.507.213,17.977.417,44.732.252,Good"
"-1.074.389,22.659.588,19.769.505,5.006.234,-22.022.934,23.519.623,15.224.761,Good"
"13.638.527,33.758.616,8.668.253,-20.307.856,48.914.808,21.850.514,37.722.538,Good"
"-18.324.435,180.648,19.794.569,-39.579.323,-19.310.311,-9.309.013,-4.988.561,Good"
"-10.706.213,22.258.787,34.500.499,7.493.356,-19.899.118,-487.059,19.388.734,Good"
"-14.235.163,-300.907,33.483.917,-4.268.031,-38.681.154,12.226.954,30.419.261,Good"
"-30.746.424,41.193.536,8.805.908,-3.418.123,-25.127.978,11.304.708,-976.012,Good"
"-16.707.404,11.316.633,16.572.696,-1.932.293,-17.077.014,2.916.387,59.285.295,Good"
"-38.752.499,19.257.684,-72.898.986,-19.075.216,-23.232.398,2.007.514,16.893.057,Good"
"-20.761.147,25.291.371,46.213.913,15.184.059,-22.044.563,-26.054.022,1.184.264,Good"
"-42.090.425,13.142.618,-19.645.939,-49.135.747,-10.036.175,39.064.653,-24.684.954,Good"
"-25.743.833,51.665.914,52.715.287,43.579.668,-22.224.412,-7.257.834,12.517.436,Good"
"-5.548.685,-964.006,-13.879.225,-51.830.926,-7.656.757,61.482.472,-14.978.485,Good"
"-21.091.332,38.359.112,14.637.936,-27.614.272,-4.825.456,10.747.676,-43.978.766,Good"
"-1.570.774,17.364.669,2.410.255,-29.501.047,57.052.393,5.222.331,26.194.313,Good"
"-8.599.176,26.145.046,20.937.696,-8.541.127,-12.890.095,29.017.751,3.843.223,Good"
"-43.391.588,11.836.438,10.444.547,-25.230.377,-15.163.546,29.813.128,49.406.293,Good"
"-16.596.624,28.934.005,1.556.676,-1.936.851,-17.221.882,17.812.704,73.849.475,Good"
"-18.528.223,21.033.424,11.659.013,-21.029.236,-19.391.822,17.403.262,2.219.857,Good"
"-13.858.737,8.581.182,27.277.832,-19.359.648,-8.447.755,27.395.067,3.633.432,Good"
"-10.684.465,14.501.349,12.322.389,41.201.573,-18.716.719,13.247.461,2.947.758,Good"
"-70.167.994,19.678.513,48.094.144,13.626.056,-7.589.124,-41.804.904,31.141.717,Good"
"-12.647.257,14.584.694,3.687.035,-13.928.992,-2.271.274,33.756.077,46.158.743,Good"
"-18.370.888,31.568.546,4.687.308,-14.792.175,-70.469.123,15.486.372,23.790.421,Good"
"-14.726.214,15.064.018,9.312.945,-1.206.207,-1.501.445,39.654.398,311.181,Good"
"-2.686.319,2.588.819,-2.970.758,-76.652.324,-4.919.885,3.917.245,37.402.776,Good"
"7.284.724,28.818.047,61.709.394,9.099.248,-32.792.357,40.179.856,1.948.357,Good"
"-34.334.774,14.114.399,18.786.082,-14.974.097,23.339.844,14.847.357,13.060.937,Good"
"4.944.252,35.029.442,12.293.656,4.283.871,11.550.119,12.006.587,33.156.393,Good"
"-10.080.884,17.309.277,-12.502.806,-2.480.263,-5.499.373,28.665.624,6.201.165,Good"
"-29.992.104,29.511.507,30.603.917,-4.610.715,-22.322.552,43.682.736,11.073.338,Good"
"14.664.521,-41.747.802,44.133.596,-2.374.937,-58.282.626,14.018.296,169.278,Good"
"-21.178.784,10.485.563,26.179.878,-9.773.695,-9.825.745,-18.370.229,16.816.299,Good"
"-11.101.192,9.001.008,2.871.242,-2.512.903,-19.189.075,-124.401.964,38.943.293,Good"
"3.152.585,1.442.118,835.484,-85.392.183,-8.634.117,5.465.368,29.117.656,Good"
"9.253.825,70.028.424,12.969.642,-16.234.146,-15.733.965,29.986.362,41.637.263,Good"
"-13.031.987,26.593.254,27.211.406,-10.806.978,-13.678.534,25.620.372,11.709.052,Good"
"-3.227.308,19.411.013,4.194.843,14.900.475,-14.610.658,-2.842.409,12.916.662,Good"
"-28.822.045,18.154.284,8.192.225,-10.097.213,-24.916.177,-36.855.757,39.530.045,Good"
"14.491.187,-1.311.818,32.633.944,-27.396.464,-25.018.666,14.019.388,26.383.193,Good"
"-16.799.812,18.747.528,12.559.147,-19.046.612,82.255.113,26.240.485,31.312.525,Good"
"-23.824.544,19.343.426,20.529.808,-16.034.843,-12.941.846,7.900.296,10.063.505,Good"
"-35.581.708,2.144.255,23.434.212,-14.175.427,-31.542.902,2.739.905,25.308.118,Good"
"-26.106.188,10.891.815,36.112.652,-19.338.982,-14.112.885,18.058.745,11.786.658,Good"
"-12.221.643,16.567.268,16.817.399,-48.365.358,-10.236.685,-25.406.808,33.328.724,Good"
"-3.892.295,63.712.555,31.881.123,-12.183.875,-58.989.096,4.214.223,13.267.723,Good"
"-14.181.942,12.762.171,15.495.317,-16.639.746,-320.051,-7.992.747,-25.916.177,Good"
"-23.000.922,70.482.403,3.758.923,-26.004.968,-49.284.902,15.710.241,62.168.604,Good"
"-19.000.298,18.476.433,55.653.846,-30.409.372,-20.350.761,22.614.176,-25.948.688,Good"
"-21.261.718,20.089.701,-26.367.884,-29.615.479,-20.134.103,24.674.745,16.701.894,Good"
"7.926.938,13.359.451,14.367.634,-7.023.023,-11.752.992,17.806.728,27.906.067,Good"
"-396.824,8.218.344,-6.186.192,-23.526.318,-17.062.187,45.916.864,19.447.616,Good"
"5.323.665,14.457.024,6.438.196,64.910.835,-12.164.019,-8.461.166,37.203.019,Good"
"-27.296.553,3.002.987,28.650.615,741.991,-8.937.309,37.668.058,24.078.563,Good"
"-4.184.264,1.206.422,45.265.487,-2.883.923,-14.615.704,51.649.175,12.296.207,Good"
"-35.866.308,19.185.199,25.564.241,-11.967.254,-21.766.333,1.580.407,27.046.177,Good"
"-3.378.437,24.116.626,5.952.439,8.671.262,-16.890.332,-17.367.077,22.834.399,Good"
"-2.209.253,44.208.762,5.648.851,-30.414.615,-27.704.952,23.560.517,21.147.087,Good"
"-14.225.199,4.813.834,15.385.499,-3.061.347,-11.739.073,2.127.136,-32.277.668,Good"
"-46.594.176,10.802.348,-4.590.832,-8.336.431,-14.083.794,32.044.735,41.410.007,Good"
"-3.841.843,28.454.115,46.203.337,7.542.872,-15.089.134,-9.073.965,-48.898.134,Good"
"-16.956.803,12.459.079,9.466.662,-37.226.357,-45.823.136,20.656.676,94.717.467,Good"
"-9.996.087,15.004.033,12.947.165,-22.662.468,-10.314.207,24.939.451,17.578.754,Good"
"-19.942.303,53.340.757,-2.643.265,-4.035.473,-30.147.808,43.197.436,86.439.264,Good"
"-17.688.471,54.969.466,11.502.731,-11.033.149,-24.842.117,-15.621.815,27.625.147,Good"
"-14.915.763,35.958.033,75.217.247,-18.830.783,-120.904.455,35.997.446,31.746.926,Good"
"-30.130.723,21.646.917,-15.788.302,-25.208.962,-3.475.071,424.805,-15.918.734,Good"
"-30.764.527,12.600.472,45.787.317,-105.870.545,-10.551.358,10.250.684,6.941.585,Good"
"-4.201.029,11.577.988,-71.558.195,-28.299.453,-12.735.728,3.657.298,10.819.227,Good"
"-37.793.422,16.299.491,3.510.514,-1.454.958,-2.136.152,21.628.795,26.500.032,Good"
"-39.980.316,-5.544.921,30.412.965,-2.161.321,-37.021.432,26.151.893,2.333.486,Good"
"-37.857.292,8.930.995,-47.509.003,-20.472.317,-2.788.434,17.501.082,-10.052.403,Good"
"-79.662.085,38.708.925,17.768.884,-307.549,-17.373.734,18.072.271,2.864.738,Good"
"-10.647.686,-4.756.924,10.792.806,-25.666.144,-1.826.662,83.454.454,-9.687.263,Good"
"17.623.338,41.705.275,-16.751,-30.241.485,-7.196.562,38.864.834,2.567.473,Good"
"-10.335.985,7.545.623,20.810.868,-408.015,5.907.648,35.367.386,35.851.914,Good"
"-34.903.226,20.408.666,14.776.107,-18.901.367,-1.627.521,2.963.691,-70.292.324,Good"
"-13.300.021,17.688.276,3.491.615,-16.741.997,83.377.033,20.255.005,22.015.238,Good"
"-43.490.648,13.085.326,16.286.412,-19.081.659,43.402.728,21.158.416,22.128.947,Good"
"-39.078.016,14.784.622,-86.961.305,-28.209.362,-13.798.635,14.105.053,33.050.604,Good"
"-11.046.011,-12.460.572,11.730.325,-26.630.297,-20.282.257,344.996,32.721.152,Good"
"-27.848.678,2.040.651,171.001,-7.427.577,-13.994.373,19.973.772,11.013.649,Good"
"-18.806.422,10.262.403,-11.954.314,-3.064.251,-14.349.469,15.214.496,19.789.983,Good"
"-853.488,7.469.361,10.045.555,-2.005.542,-24.723.868,16.159.602,94.623.935,Good"
"-39.368.527,24.376.569,17.320.561,60.700.697,-2.803.211,-32.414.498,-27.481.297,Good"
"48.303.875,11.602.802,6.163.168,-17.433.753,-15.316.443,2.601.549,1.685.601,Good"
"-23.639.088,42.418.098,-14.290.562,-5.175.369,-26.026.793,456.102,9.159.722,Good"
"-25.420.265,10.828.279,7.251.373,-18.164.905,-2.409.129,29.941.492,833.742,Good"
"-14.597.996,30.870.316,3.857.015,12.523.866,-16.328.883,-11.643.015,12.819.252,Good"
"-7.609.085,16.068.199,42.463.894,50.708.973,-2.714.731,-23.941.348,3.485.912,Good"
"-57.649.426,15.523.503,10.192.558,-1.765.518,-29.667.165,-40.934.145,-5.787.896,Good"
"-1.757.643,-1.098.885,10.441.756,-22.197.611,-28.991.203,-95.492.905,2.877.549,Good"
"-57.199.214,13.463.466,3.045.971,-8.083.317,-14.243.649,-10.316.745,10.859.519,Good"
"-48.300.266,2.540.045,12.931.132,-1.283.749,40.858.933,12.270.966,314.627,Good"
